file_id,12
date,2024-04-09
instrument,qwe
sample,qwe
spring_constant,122
inv_ols,23
tip_geometry,12
tip_radius,123
sampling_rate,23
velocity,2
geometry,approach
parameter,force
unit,N
value,1.07171586320023e-12
curve_id,0
file_id,12
date,2024-04-09
instrument,qwe
sample,qwe
spring_constant,122.0
inv_ols,23.0
tip_geometry,12
tip_radius,123.0
segment_type,approach
sampling_rate,23.0
velocity,2.0
no_points,2000
index,Z (m),Force (N)
423,-1.8058939385e-06,3.0248504060977e-13
424,-1.8049216432e-06,1.17914144079977e-12
425,-1.8037313991e-06,1.7073971311770008e-14
426,-1.8025419553e-06,-1.00129114620023e-12
427,-1.8014187968e-06,-6.273714629302301e-13
428,-1.8001858022e-06,-4.2172646945023004e-13
429,-1.799042833e-06,1.8653899972977004e-13
430,-1.7979277178e-06,1.42094205699977e-12
431,-1.7968739636e-06,1.29752779749977e-12
432,-1.7957443213e-06,6.3147735220977e-13
433,-1.7945887742e-06,1.24734248839977e-12
434,-1.7934453228e-06,9.8331978370977e-13
435,-1.7923835663e-06,3.2255892083976996e-13
436,-1.7913323769e-06,-7.694452296123e-14
437,-1.79020018e-06,-1.32184763270023e-12
438,-1.7891782604e-06,1.22115260449977e-12
439,-1.7879826815e-06,8.2789661281977e-13
440,-1.7869291119e-06,1.4406289797977004e-13
441,-1.7856884946e-06,1.9659029327997703e-12
442,-1.7845163993e-06,1.55979907349977e-12
443,-1.7833223387e-06,-8.4335341540023e-13
444,-1.782151177e-06,4.0313194400977e-13
445,-1.7810632695e-06,1.50610968989977e-12
446,-1.7798133778e-06,3.6070452686977e-13
447,-1.7786709421e-06,-3.3820194203023004e-13
448,-1.7776617646e-06,-2.2781446606023e-13
449,-1.7765314143e-06,-8.482450012002301e-13
450,-1.7753132034e-06,8.3790738495977e-13
451,-1.7742255831e-06,1.28155316109977e-12
452,-1.773085107e-06,1.4598350568977002e-13
453,-1.7720079513e-06,3.3337664031976997e-13
454,-1.7708735999e-06,1.48977843869977e-12
455,-1.7697406335e-06,5.4969208234977e-13
456,-1.7686198142e-06,-4.0588206438023e-13
457,-1.7675236377e-06,-1.30520966850023e-12
458,-1.7663550818e-06,2.9159064286976996e-13
459,-1.7653165114e-06,1.03169280839977e-12
460,-1.7643158388e-06,3.2868101005977e-13
461,-1.7630404732e-06,-4.3116884881023e-13
462,-1.762013742e-06,2.0024858481977e-13
463,-1.7608613138e-06,1.66256984289977e-12
464,-1.7596146024e-06,1.28743304449977e-12
465,-1.7584115034e-06,-2.1369593028023e-13
466,-1.7572687189e-06,1.19514772219977e-12
467,-1.7560523444e-06,1.01506823249977e-12
468,-1.7548054176e-06,-2.3043248076023004e-13
469,-1.7537432507e-06,6.9681209365977e-13
470,-1.7526155064e-06,5.4011703742977e-13
471,-1.7514976417e-06,4.640205637997699e-13
472,-1.7503508253e-06,-2.9568445837023e-13
473,-1.7492397831e-06,4.7669316677977e-13
474,-1.7479435296e-06,1.79368965839977e-12
475,-1.7469160494e-06,2.4626892588977e-13
476,-1.7458371291e-06,-2.7369240466023004e-13
477,-1.7446131934e-06,6.925753158097699e-13
478,-1.7435230392e-06,1.54943777219977e-12
479,-1.7423116404e-06,1.09464930679977e-12
480,-1.7412912289e-06,2.6141957531977e-13
481,-1.740214104e-06,-4.1952349102023003e-13
482,-1.7389541274e-06,5.869309375897699e-13
483,-1.7378285375e-06,1.65532800769977e-12
484,-1.7367384448e-06,1.40109456019977e-12
485,-1.73561029e-06,-7.181037462802301e-13
486,-1.734401969e-06,4.8712749498977e-13
487,-1.7333045204e-06,5.0065451280977e-13
488,-1.7321542261e-06,-2.348395695322999e-14
489,-1.731077532e-06,4.0138051529977e-13
490,-1.7298567152e-06,1.99164978679977e-12
491,-1.7286984597e-06,-5.0575488254023e-13
492,-1.727557963e-06,-8.108187102302301e-13
493,-1.7265349867e-06,2.41769364359977e-12
494,-1.7253762181e-06,2.42756323039977e-12
495,-1.724315703e-06,-7.272478472322999e-14
496,-1.7231686506e-06,-2.3959127229023e-13
497,-1.7221058477e-06,1.3784465665977e-13
498,-1.720989563e-06,-4.3755009837229985e-14
499,-1.7198725704e-06,3.5974544012977e-13
500,-1.7187291395e-06,-6.0052190264023e-13
501,-1.7176300904e-06,-7.0254171193023e-13
502,-1.7165767363e-06,7.7361327696977e-13
503,-1.7153178677e-06,3.7417434026977e-13
504,-1.7143298039e-06,7.035463917997699e-13
505,-1.7132345507e-06,6.731988425597699e-13
506,-1.7120308669e-06,-1.3930500863002301e-12
507,-1.7108128509e-06,-7.1681238710023e-13
508,-1.7097487348e-06,5.0504099581977e-13
509,-1.7085841082e-06,-1.7728714757022997e-13
510,-1.7073788137e-06,6.1461178752977e-13
511,-1.7061352212e-06,-1.0573659904023e-13
512,-1.7050472932e-06,-1.04203164170023e-12
513,-1.7039211903e-06,8.8407012850977e-13
